Scheme Name	Asset Value
Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	103.3491
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	115.764
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	103.7623
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	145.3665
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	111.7831
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	101.9948
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	111.5638
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103.0801
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	353.8992
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	531.2502
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	366.829
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1038.9447
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2620.2346
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1036.1150
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.5777
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1038.9036
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2543.6967
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1035.9873
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.5675
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	11.0642
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.0739
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	10.9980
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	10.9980
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.0739
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9906
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.7859
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4749
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4796
BANDHAN Banking & PSU Debt Fund - Direct Growth	24.4474
BANDHAN Banking & PSU Debt Fund - Direct IDCW	12.8601
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4434
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.9060
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.7316
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8764
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6342
BANDHAN Banking & PSU Debt Fund - Regular Growth	23.7823
BANDHAN Banking & PSU Debt Fund - Regular IDCW	12.8423
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6868
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.8070
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.3587
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12.4467
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.4599
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.1950
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.2056
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.2615
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	11.7850
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.6540
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	11.6945
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.5778
DSP Banking & PSU Debt Fund - Direct Plan - Growth	24.0437
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.9373
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1488
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3232
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.3188
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1488
DSP Banking & PSU Debt Fund - Regular Plan - Growth	23.2463
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.9095
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1483
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3119
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.3096
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1483
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	24.5959
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.4528
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5885
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.94
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5476
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	23.7642
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.6647
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.1228
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1838
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1424
Franklin India Banking & PSU Debt Fund - Direct - Growth	22.5912
Franklin India Banking & PSU Debt Fund - Growth	21.6528
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.3291
Franklin India Banking and PSU Debt Fund - IDCW 	10.7233
HDFC Banking and PSU Debt Fund - Growth Option	22.2091
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	23.0924
HDFC Banking and PSU Debt Fund - IDCW Option	10.142
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0321
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1877
HSBC Banking and PSU Debt Fund - Direct Growth	24.5812
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2263
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3554
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1124
HSBC Banking and PSU Debt Fund - Regular Growth	23.3703
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5423
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3276
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	32.9154
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.8039
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
